"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Ноябрь 2002"	2622.9	1943.9	17.4	286.5	375.1	""
"Декабрь 2002"	2858.8	2130.6	39.5	294.3	394.4	""
"Январь 2003"	2788.0	2033.3	40.4	289.7	424.6	""
"Февраль 2003"	2925.6	2114.1	38.7	351.4	421.4	""
"Март 2003"	3002.4	2218.4	36.0	325.7	422.3	""
"Апрель 2003"	3069.1	2326.1	42.1	270.9	430.0	""
"Май 2003"	3175.9	2447.3	15.9	282.9	429.7	""
"Июнь 2003"	3348.4	2619.3	17.8	283.9	427.3	""
"Июль 2003"	3408.0	2638.3	13.0	320.5	436.2	""
"Август 2003"	3460.6	2695.4	12.5	304.3	448.4	""
"Сентябрь 2003"	3586.1	2744.1	14.3	357.2	470.6	""
"Октябрь 2003"	3557.4	2753.6	11.0	326.0	466.8	""
"Ноябрь 2003"	3632.8	2835.2	11.8	323.5	462.3	""
"Декабрь 2003"	3954.3	3205.2	10.6	279.3	459.1	""
"Январь 2004"	3933.4	3203.3	16.0	276.9	437.2	""
"Февраль 2004"	4079.4	3323.5	11.6	306.5	437.8	""
"Март 2004"	4178.3	3409.7	9.9	316.1	442.5	""
"Апрель 2004"	4320.7	3474.2	8.4	373.1	465.1	""
"Май 2004"	4358.4	3514.9	11.6	355.7	476.2	""
"Июнь 2004"	4533.5	3670.9	13.2	370.3	479.2	""
"Июль 2004"	4542.1	3626.7	11.4	421.5	482.5	""
"Август 2004"	4562.3	3649.8	13.3	402.9	496.3	""
"Сентябрь 2004"	4630.0	3717.5	15.0	394.4	503.1	""
"Октябрь 2004"	4720.9	3787.7	19.6	408.6	505.0	""
"Ноябрь 2004"	4854.8	3928.5	18.6	404.9	502.9	""
"Декабрь 2004"	5288.7	4353.9	20.4	400.2	514.2	""
"Январь 2005"	5173.7	4179.9	19.6	453.0	521.2	""
"Февраль 2005"	5333.4	4300.6	35.9	473.8	523.0	""
"Март 2005"	5487.1	4462.7	28.4	461.0	534.9	""
"Апрель 2005"	5584.3	4577.5	23.3	434.2	549.3	""
"Май 2005"	5732.3	4677.7	27.0	470.1	557.6	""
"Июнь 2005"	6006.6	4915.4	28.8	488.0	574.4	""
"Июль 2005"	6075.1	4974.3	32.0	478.8	590.1	""
"Август 2005"	6274.2	5118.2	29.8	526.3	599.9	""
"Сентябрь 2005"	6442.8	5274.9	26.9	535.7	605.2	""
"Октябрь 2005"	6465.9	5296.5	24.0	534.8	610.7	""
"Ноябрь 2005"	6589.1	5417.1	20.4	515.7	635.9	""
"Декабрь 2005"	7213.4	6032.1	21.6	495.5	664.1	""
"Январь 2006"	7018.8	5822.1	25.2	516.3	655.2	""
"Февраль 2006"	7139.3	5899.7	22.7	561.7	655.2	""
"Март 2006"	7374.7	6148.1	19.5	552.2	654.9	""
